d,ep,stress,total_strain
0.17152558643745,0.0024190713811024,196.75340643089,0.011161605
0.17500514587757,0.0024190713811024,194.84392502832,0.01126272
0.17845664798876,0.0024190713811024,192.96752166133,0.011363845
0.18188059009009,0.0024190713811024,191.1232443883,0.01146498
0.18527745330901,0.0024190713811024,189.31018113677,0.011566125
0.18864770335451,0.0024190713811024,187.52745750437,0.01166728
0.19199179123357,0.0024190713811024,185.77423471948,0.011768445
0.19531015393367,0.0024190713811024,184.04970772775,0.01186962
0.19860321506186,0.0024190713811024,182.35310340806,0.011970805
0.20187138543848,0.0024190713811024,180.68367891348,0.012072
0.20511506366932,0.0024190713811024,179.04072010463,0.012173205
0.20833463667433,0.0024190713811024,177.42354009436,0.01227442
0.21153048019023,0.0024190713811024,175.83147787963,0.012375645
